연도,수력,,,,기력,,,,,복합화력,,,,,원자력,신재생,집단,내연력,기타,총계,상용자가,,,총발전량,
,일반수력,양수,소수력,소계,무연탄,유연탄,중유,가스,소계,일반,열공급,LNG,유류,계,,,,,,,한전구입,자가소비,계,사업자+한전구입,사업자+상용자가
2024,3538974,4677237,761339,8977549,1990754,159749558,0,586426,162326738,,,123223980,16481,123240461,188754102,56537104,52873199,328606,1228578,594266336,1334347,32183531,33517878,595600684,627784214
2023,3060193,3783877,656245,7500314,1875888,177388597,0,878108,180142592,,,118489526.5,311671.5,118801198,180494096,50455722,47959307,389789,1172535,586915554,1130949,29444163,30575112,588046503,617490666
2022,2950662,3715049,590517,7256228,1870760,184876796,351793,1377345,188476694,,,123684319,311520,123995839,176054012,47266256,49158704,570046,1171543,593949322,451043,30199748,30650791,594400365,624600113
2021,2391824,3682932,662678,6737434,1853783,187050807,1493853,1176921,191575365,,,130217723,140532,130358255,158015230,39101556,48325789,490697,1181224,575785550,1023939,25128865,26152804,576809488,601938354
2020,3205979,3271019,671251,7148249,2094210,185241232,1503944,586627,189426013,,,111690052,69193,111759245,160183721,31056508,45567264,404673,4940046,550485720,1676440,24949741,26626181,552162160,577111901
2019,2229038.12,3458384.755,559640.9271,6247063.802,2592225.311,216483725.3,1842477.512,0.012,220918428.1,,,109602079,686732,110288811.4,145909669.5,30526256.64,46058095.14,578911.9149,1366662.865,561893899.4,1146405.437,23765699,24912104,563040304.8,586806004
2018,2748401,3911035,611017,7270453,2677040,228975999,5845247,0,237498286,,,116513812,321794,116835607,133505261,27176674,47032922,528453,0,569847656,798850,22258122,23056972,570646507,592904629
2017,2263505,4186353,545316,6995173,4426611,227459979,5224768,220183,237331541,93839136.55,5779854.45,,,99618991,148426725,24145361.58,36194464.07,513347,,553225602,304506,22882019,23186525,553530107,576412127
2016,2159149,3787310,687112.6,6633585,7760682,201439484,13054770,368541,222623477,91064130.62,5858139.13,,,96922270,161995104,18935660,32537144,573196,0,540220436,220419,20543736,20764155,540440854,560984590
2015,1539297.685,3650320.346,606421.622,5796039.652,7438270.931,199895424.447,8822005.96,222471.548,216378172.886,97375131.105,3223254.052,,,100598385.157,164762415.917,17317948.604,22018711.201,643163.937,0,527514837.354,576355.319,19710610,20286965,528091192.673,547801803
2014,2135681,5068129,615737,7819548,8506060,195259331,6838457,568123,211171971,104301491,7409973,,,111711465,156406511,14695690.362,18948094.924,655810,0,521409090,561813,18407896,18969708.747,521970903,540378798.717
2013,3798240,4104661,491028,8393928,8054488,193064345,13940534,3525889,218585257,111629509,12770502,,,124400011,138783973,10159658,14403169,740935,0,515466931,1680942,20021403,21702345,517147873,537169276
2012,3440018,3683262,529021,7652301,8767762,190561957,13553420,3452866,216336004,97548461,13333473,,,110881933,150327293.341873,8617868.86573144,12912737.090829,752070.317232,0,507480208,2094121,21627537,23721658,509574329,531201866
2011,4178867.7,3232984.573,418799.316,7830651.589,8503982.819,191011864.22,9456338.38,2232618,211204803.419,90452986.047,11026397.515,,,101479383.562,154723106.781,7592387.053,12429066.774,820532.999,0,496079932.178,813433.581,21274450,22087884,496893365.758,518167816
2010,3339560.27,2789933.751,342408.513,6471902.534,8359872.741,189927487.074,10874370.521,2287541,211449271.336,81563808.442,12448329.367,,,94012137.809,148595711.644,4478057.639,8080232.932,730695.242,0,473818009.136,842195.905,20368158,21210353.905,474660205.042,495028363.042
2009,2596099.968,2827990.827,217071.277,5641162.072,7977657.858,185825633.102,11970099.887,761682,206535072.847,55108130.287,9377878.674,,,64486008.961,147770806.921,1790608.507,5826997.635,696952.56,0,432747609.504,856135.417,18843716,19699851.417,433603744.92,452447460.92
2008,2852126.862,2492539.199,217984.485,5562650.546,6928993.317,167227036.607,7981563.429,1517763,183655356.353,63811958.797,10707392.919,,,74519351.716,150957935.644,1373424.825,5054422.41,502707.656,0,421625849.15,729276.543,20255832,20985108.543,422355125.693,442610957.693
2007,3475268.653,1410812.786,156380.554,5042461.993,6061544.768,149623092.035,15702736.331,2027701,173415074.134,65836943.084,10568474.858,,,76405417.942,142937163.655,830824.244,3085139.65,578356.302,0,402294437.921,830063,22282788,23112851,403124501.475,425407288.921
2006,3326281.367,1751083.255,141256.46,5218621.082,5709387.877,134636585.11,14306787.5,1258155,155910915.487,57362089.383,9776252.31,,,67138341.693,148748887.388,511223.189,2596730.89,677295.853,0,380802015.582,378693,21808234,22186927,381180709.448,402988942.582
2005,3535571.438,1515588.405,137728.544,5188888.387,5789778.072,129101944.145,15529107.125,786366,151207195.342,47840683.803,9616213.848,,,57456897.651,146779022.87,404100.729,2758544.375,575339.467,0,364369989.82,269340.696,24840181,25109521.696,364639330.516,389479511.516
2004,4198348.063,1550354.8,112731.635,5861434.498,5787070.32,122760315.62,16084006.176,733317.83,145364709.946,45424960.864,10026980.224,,,55451941.088,130714815.623,350183.218,3552538.278,406895.327,0,341702513.979,445452.612,25885585,26331037.612,342147966.591,368033551.591
2003,4756941.36,2001406.486,128635.63,6886983.476,6959936.68,114971489.8,16663865.21,1674183,140269474.69,30522300.73,9852345,,,40374645.73,129671762.759,0,0,370124.784,0,317572991.439,4878705.605,25304512,30183217.605,322451697.044,347756209.044
2002,3136673.973,2078269.2,96103.335,5311046.508,6674541.659,112990671.2,17493063.934,1771207,138929483.793,28623682.931,9713268,,,38336950.931,119102904.74,0,0,353022.501,0,302033408.473,4440656,25546883,29987539,306474064.473,332020947.473
2001,2257584.711,1820814.209,72354.052,4150752.972,7007384.968,105250086.9,21622339.307,1556930,135436741.175,20285784.524,8747186,,,29032970.524,112133032.63,0,0,324938.817,0,281078436.118,4145320.795,24662195,28807516,285223756.913,309885952
2000,3941017.4,1600269,68535.6,5609822,7029753,92397718,18888171,1631891,119947533,17299652,9563488,,,26863140,108963740,0,0,293861,0,261678095,4721413,24043440,28764853,266399507.5,290442948
1999,4068660,1906973,90600,6066233,6697467,76906300,11523950,1344831,96472548,18765562,9909484,,,28675046,103063779,0,0,381697,0,234659303,4665430,22827413,27492843,239324733,262152146
1998,4186592,1819618,92826,6099036,6510169,71152157,9942627,1436625,89041578,17651236,8853811,,,26505047,89688972,0,0,575291,0,211909923,3390496,21896987,25287483,215300419,237197406
1997,2737161,2589533,76831,5403525,6048404,63680222,27408098,7661219,104797943,23591641,10832470,,,34424111,77085649,0,0,718025,0,222379252,2065347,22142872,24208219,224444599,246587471
1996,2353688,2776967,70669,5201324,6948793,52701093,29067151,8229139,96946176,15795011,11147515,,,26942526,73924340,0,0,771846,0,203786212,1707342,20352165,22059507,205493554,225845719
1995,2689336,2717995,70587,5477918,6510685,45054776,28739164,8948497,89253122,11721195,8800127,,,20521322,67028647,0,0,824819,0,183105829,1554996,18885640,20440636,184660825,203546465
1994,2266913,1752160,79179,4098252,6176063,38950405,36811584,1868549,83806601,8796587,7250127,,,16046714,58650918,0,0,788923,0,163391408,1601369,18372755,19974124,164992777,183365532
1993,4132212,1778530,95337,6006079,6282172,28207958,24687684,9738051,68915865,6228838,2959024,,,9187862,58138203,0,0,640467,0,142888476,1548342,17464133,19012475,144436818,161900951
1992,3016042,1765775,81406,4863223,6075966,19389897,22571953,14076727,62114543,4621464,842565,,,5464029,56530214,0,0,574046,0,129546055,1416480,15476749,16893229,130962535,146439284
1991,3458592,1564686,27454,5050732,5253661,17967178,19741225,12426679,55388743,784966,0,,,784966,56310750,0,0,471635,0,118006826,611689,12997629,13609318,118618515,131616144
1990,4605798,1677407,78148,6361353,5017946,17426563,12877971,11775028,47097508,618542,0,,,618542,52886562,0,0,429062,0,107393027,276486,10791282,11067768,107669514,118460795
1989,2896415,1593981,67554,4557950,5245170,15901525,10918294,9689033,41754022,220718,0,,,220718,47365172,0,0,252965,0,94150827,320907,9151881,9472788,94471733,103623615
1988,1956384,1578844,30848,3566076,5038732,16605023,8607805,10892395,41143955,172045,0,,,172045,40100672,0,0,209725,0,85192473,269615,7646759,7916374,85462088,93108847
1987,3924871,1378825,40500,5344196,4026692,13194802,2235245,9470510,28927249,66011,0,,,66011,39314193,0,0,171248,0,73822896,168894,6259557,6428451,73991789,80251347
1986,3082265,909501,27615,4019381,4035802,15891610,12180165,0,32107577,52820,0,,,52820,28311217,0,0,121753,0,64612747,82322,4985527,5067849,64695069,69680596
1985,3165026,474114,19940,3659080,4969329,15057996,17383510,0,37410835,57794,0,,,57794,16745341,0,0,60955,0,57934005,73372,4659824,4733196,58007377,62667201
1984,1998143,400592,0,2398735,5807246,10352154,23301571,0,39460971,99021,0,,,99021,11792059,0,0,40937,0,53791723,15870,4544050,4559920,53807593,58351643
1983,2294191,428426,0,2722617,5148215,1650296,30098124,0,36896635,214259,0,,,214259,8965058,0,0,41640,0,48840209,10114,4186492,4196606,48850322,53036815
1982,1715362,289888,0,2005250,4488365,0,32471941,0,36960306,331734,0,,,331734,3777289,0,0,45192,0,43119771,2445,4041787,4044232,43122216,47164003
1981,2597707,110823,0,2708530,4260022,0,30044631,0,34304653,258115,0,,,258115,2897205,0,0,38162,0,40206665,0,3881638,3881638,40206665,44088303
1980,1920375,63716,0,1984091,4353327,0,27003110,0,31356437,369315,0,,,369315,3477154,0,0,51637,0,37238633,0,2838921,2838921,37238633,40077554
1979,2296168,32361,0,2328529,4417392,0,24423369,0,28840761,1085938,0,,,1085938,3151904,0,0,192809,0,35599941,0,2670452,2670452,35599941,38270393
1978,1807524,0,0,1807524,4019271,0,21378037,0,25397308,1508268,0,,,1508268,2324376,0,0,472504,0,31509980,0,1902084,1902084,31509980,33412064
1977,1392729,0,0,1392729,3974183,0,20400177,0,24374360,305096,0,,,305096,71466,0,0,443096,0,26586747,0,1433840,1433840,26586747,28020587
1976,1788661,0,0,1788661,3611622,0,17470452,0,21082074,0,0,0,0,0,0,0,0,245961,0,23116696,0,1300682,1300682,23116696,24417378
1975,1682809,0,0,1682809,3709220,0,14241874,0,17951094,0,0,0,0,0,0,0,0,203348,0,19837251,0,1016737,1016737,19837251,20853988
1974,1905858,0,0,1905858,3022461,0,11714862,0,14747323,0,0,0,0,0,0,0,0,181639,0,16834820,0,1019151,1019151,16834820,17853971
1973,1284465,0,0,1284465,3272020,0,10218451,0,13490471,0,0,0,0,0,0,0,0,50921,0,14825857,0,938283,938283,14825857,15764140
1972,1368076,0,0,1368076,2557109,0,7845804,0,10402913,0,0,0,0,0,0,0,0,68362,0,11839351,0,611897,611897,11839351,12451248
1971,1319976,0,0,1319976,2570499,0,6479461,0,9049960,0,0,0,0,0,0,0,0,170157,0,10540093,0,601739,601739,10540093,11141832
1970,1220684,0,0,1220684,2700160,0,4886683,0,7586843,0,0,0,0,0,0,0,0,359918,0,9167445,0,598946,598946,9167445,9766391
1969,1428512,0,0,1428512,3168514,0,2433444,0,5601958,0,0,0,0,0,0,0,0,669498,0,7699968,0,501158,501158,7699968,8201126
1968,929483,0,0,929483,3961297,0,351067,0,4312364,0,0,0,0,0,0,0,0,809850,0,6025881,0,535986,535986,6025881,6561867
1967,953171,0,0,953171,3438095,0,182517,0,3620612,0,0,0,0,0,0,0,0,341600,0,4913125,0,384784,384784,4913125,5297909
1966,985322,0,0,985322,2730425,0,114623,0,2845048,0,0,0,0,0,0,0,0,55444,0,3885807,0,348929,348929,3885807,4234736
1965,710427,0,0,710427,2407229,0,88018,0,2495247,0,0,0,0,0,0,0,0,44264,0,3249938,0,316555,316555,3249938,3566493
1964,749905,0,0,749905,1734601,0,139977,0,1874578,0,0,0,0,0,0,0,0,75756,0,2700022,0,284862,284862,2700022,2984884
1963,727829,0,0,727829,1199276,0,232559,0,1431835,0,0,0,0,0,0,0,0,104433,0,2236389,0,266501,266501,2236389,2502890
1962,702341,0,0,702341,1016639,0,182379,0,1199018,0,0,0,0,0,0,0,0,77602,0,1978506,0,186323,186323,1978506,2164829
1961,652611,0,0,652611,1118279,0,0,0,1118279,0,0,0,0,0,0,0,0,2031,0,1772921,0,163497,163497,1772921,1936418
