기간,원자력,석탄_유연탄,석탄_무연탄,석탄_계,유류,LNG,양수,신재생_연료전지,신재생_석탄가스화,신재생_태양,신재생_풍력,신재생_수력,신재생_해양,신재생_바이오,신재생_폐기물,신재생_계,기타,합계
2026/04,96.4792055,132.45045166,0.38420618,132.45040313,376.61046942,148.23807665,172.09086019,117.7961197,0,112.6436588,119.7724833,127.9731488,0,148.2215553,,123.2789654,159.73773884,125.2459441
2026/03,91.71222167,128.79738499,0,128.79738499,447.1508345,142.69859189,180.85057971,108.8198725,0,99.674864,109.4622977,125.9573422,0,148.3853264,,114.8787985,136.71825473,122.17420771
2026/02,92.40408149,133.2585413,225.01209416,133.36383561,532.08645234,152.31394117,199.20503742,106.5889835,0,101.2731539,106.313625,125.9574228,0,147.2184097,,115.8165927,137.44522326,127.59887924
2026/01,90.78759367,127.40782038,0,127.54315893,498.74994825,151.75498934,228.68848437,101.8868454,0,96.774667,102.4213439,125.1179267,101.1943364,141.6893663,,111.8467103,125.89219501,125.0878166
2025/12,100.03880865,114.34689969,100.06380845,114.15579633,246.67654233,149.54856385,216.03588221,88.7820027,119.1545562,94.6877359,87.3302346,111.62678,0,131.2272328,,102.9382929,118.25482324,119.55363769
2025/11,66.14657457,117.90785594,103.55562749,117.65232486,588.24656775,135.73263949,170.31939945,93.239309,131.6926288,96.2855969,93.1972502,109.3081057,108.3333333,133.1872217,,105.2356021,116.39992961,107.52057072
2025/10,62.49469814,118.54795114,113.45891787,118.51425521,377.4194802,141.19660038,165.84253276,98.7900649,119.5732483,107.9144176,99.8874244,110.9013982,124.1813602,134.4662142,,112.0536014,133.32024433,107.39491667
2025/09,73.38623475,130.27945865,115.77591806,130.20780385,440.57726514,166.47157953,217.8226545,109.6393751,121.8558038,124.076943,108.3513681,128.0003625,105.7967836,157.1364036,,127.6706238,142.77284049,123.32921042
2025/08,80.65156433,139.11761115,131.81475491,139.07482178,559.41088684,164.55493722,240.94175868,115.9600301,151.8466763,122.2732191,116.2333415,135.8389879,0,162.5957585,,132.9778217,176.97213408,131.675167
2025/07,82.85778452,145.02904913,135.52108786,144.96921224,676.72140647,171.15627336,231.29724764,118.5450546,141.3641823,127.7550521,116.0399627,140.3132741,0,155.7175241,,132.5173851,164.11066994,134.493101
