년도,월,육지계통한계가격,제주계통한계가격,통합계통한계가격
2025,08,117.39,118.46,117.4
2025,07,120.39,121.13,120.39
2025,06,118.02,120.62,118.05
2025,05,125.5,122.32,125.47
2025,04,124.63,120.24,124.58
2025,03,113.12,105.57,113.03
2025,02,116.39,116.05,116.39
2025,01,117.11,118.9,117.13
2024,12,116.58,118.18,116.6
2024,11,112.26,108.66,112.22
2024,10,117.2,120.62,117.24
2024,09,138.78,145.1,138.85
2024,08,145.79,151.51,145.86
2024,07,132.46,135.55,132.49
2024,06,125.99,126.41,125.99
2024,05,126.35,127.09,126.36
2024,04,125.9,141.72,126.09
2024,03,134.4,140.61,134.47
2024,02,119.49,122.34,119.53
2024,01,137.91,150.67,138.06
2023,12,131.05,137.04,131.12
2023,11,120.82,123.37,120.85
2023,10,136.73,163.17,137.01
2023,09,140.93,162.47,141.19
2023,08,146.91,173.17,147.22
2023,07,153.39,164.72,153.52
2023,06,147.12,147.71,147.13
2023,05,143.64,143.07,143.64
2023,04,164.87,163.87,164.86
2023,03,215.87,218.2,215.9
2023,02,253.48,260.27,253.56
2023,01,240.73,247.55,240.81
2022,12,267.55,275.15,267.63
2022,11,242.17,243.97,242.19
2022,10,251.61,255.03,251.65
2022,09,233.37,238.44,233.42
2022,08,196.02,340.91,197.74
2022,07,150.6,261.31,151.85
2022,06,128.84,214.32,129.72
2022,05,139.06,263.73,140.34
2022,04,201.58,250.33,202.11
2022,03,192.34,229.05,192.75
2022,02,196.93,229.85,197.32
2022,01,153.82,206.82,154.42
2021,12,142.46,175.72,142.81
2021,11,126.83,149.77,127.06
2021,10,107.53,130.14,107.76
2021,09,98.21,149.31,98.77
2021,08,93.41,153.23,94.07
2021,07,87.04,133.68,87.54
2021,06,82.72,121.49,83.11
2021,05,78.93,95.39,79.1
2021,04,75.97,111.0,76.35
2021,03,83.78,124.79,84.22
2021,02,75.25,92.84,75.44
2021,01,70.47,87.75,70.65
2020,12,66.98,81.73,67.14
2020,11,49.65,65.48,49.8
2020,10,50.23,66.03,50.39
2020,09,55.43,104.13,55.94
2020,08,62.33,119.95,63.01
2020,07,70.96,97.68,71.25
2020,06,70.58,103.62,70.92
2020,05,70.45,113.38,70.91
2020,04,74.78,129.46,75.38
2020,03,83.05,110.28,83.35
2020,02,81.6,110.45,81.91
2020,01,84.26,109.48,84.54
2019,12,83.72,128.19,84.18
2019,11,81.13,153.13,81.83
2019,10,87.47,161.84,88.21
2019,09,78.73,167.84,79.64
2019,08,83.93,166.55,84.83
2019,07,78.9,163.53,79.76
2019,06,77.67,166.24,78.54
2019,05,78.99,144.86,79.65
2019,04,98.93,147.52,99.44
2019,03,112.1,141.73,112.42
2019,02,105.5,136.49,105.85
2019,01,110.78,157.61,111.28
2018,12,109.34,171.66,109.95
2018,11,104.59,160.08,105.11
2018,10,101.82,159.01,102.36
2018,09,92.14,161.67,92.87
2018,08,90.28,159.7,91.02
2018,07,86.58,153.18,87.27
2018,06,89.29,140.34,89.79
2018,05,87.22,129.14,87.64
2018,04,90.54,127.67,90.91
2018,03,101.15,131.77,101.47
2018,02,90.3,131.32,90.75
2018,01,91.8,133.46,92.23
2017,12,90.41,126.93,90.77
2017,11,81.15,116.55,81.48
2017,10,72.41,115.98,72.84
2017,09,72.82,111.87,73.21
2017,08,75.91,120.67,76.4
2017,07,76.3,123.87,76.79
2017,06,82.33,123.53,82.71
2017,05,78.76,117.92,79.14
2017,04,74.88,121.12,75.35
2017,03,91.67,129.75,92.06
2017,02,90.76,121.17,91.07
2017,01,86.1,106.06,86.31
2016,12,86.76,103.91,86.93
2016,11,74.83,98.21,75.04
2016,10,73.27,95.96,73.48
2016,09,71.3,97.3,71.55
2016,08,71.43,101.13,71.73
2016,07,66.79,93.81,67.06
2016,06,65.15,82.62,65.31
2016,05,68.72,75.53,68.78
2016,04,75.37,77.25,75.38
2016,03,87.34,84.26,87.31
2016,02,87.62,88.05,87.62
2016,01,90.7,97.79,90.77
2015,12,95.41,100.97,95.46
2015,11,74.83,98.21,75.04
2015,10,73.27,95.96,73.48
2015,09,71.3,97.3,71.55
2015,08,71.43,101.13,71.73
2015,07,66.79,93.81,67.06
2015,06,0.0,0.0,0.0
2015,05,68.72,75.53,68.78
2015,04,75.37,77.25,75.38
2015,03,118.35,117.99,118.35
2015,02,121.16,137.15,121.33
