거래일,체결 수량,평균가,체결총액,시작가,종가,기준가,최고가,최저가
2017-03-28,2568,119012,305624400,119900,120000,137600,120000,117500
2017-03-30,11513,119546,1376333900,120000,120100,120000,121300,115000
2017-04-04,13402,122534,1642201400,115500,123800,120100,125300,115500
2017-04-06,12453,124246,1547236500,120000,124000,123800,125000,120000
2017-04-11,12282,124887,1533865900,123500,124900,124000,126200,122500
2017-04-13,14021,123481,1731330000,123000,120800,124900,125100,119100
2017-04-18,18508,124163,2298015500,120000,125000,120800,125100,120000
2017-04-20,22259,127650,2841371400,122100,127600,125000,130000,122100
2017-04-25,16454,128094,2107662400,117000,130000,127600,130000,117000
2017-04-27,8149,126007,1026833900,124000,121000,130000,130000,120000
2017-05-02,14311,128632,1840856500,120000,125500,121000,130500,118000
2017-05-04,13373,129865,1736687900,120000,130000,125500,131000,120000
2017-05-11,37727,129884,4900169100,120000,130000,130000,130500,120000
2017-05-16,43359,132470,5743809500,130000,132300,130000,133500,130000
2017-05-18,9385,132367,1242266400,130000,129500,132300,134000,129500
2017-05-23,43479,132328,5753513200,129000,129200,129500,133000,128000
2017-05-25,42529,132097,5617983900,130000,132000,129200,133000,128100
2017-05-30,11541,130447,1505491300,129100,128000,132000,132000,128000
2017-06-01,15372,129945,1997520100,120000,130000,128000,131000,120000
2017-06-08,137838,132354,18243435000,120000,133500,130000,133500,120000
2017-06-13,2345,126744,297217000,129000,125500,133500,129000,125500
2017-06-15,16466,128964,2123536900,127000,119000,125500,130000,119000
2017-06-20,73130,129340,9458702400,125000,129000,119000,129500,123000
2017-06-22,3350,124175,415987000,125000,125000,129000,125000,120000
2017-06-27,5327,124708,664322200,126100,124500,125000,126100,110000
2017-06-29,47983,128130,6148101700,123000,129000,124500,130000,122500
2017-07-04,7697,124933,961615900,124000,124700,129000,125000,124000
2017-07-06,12117,124847,1512780500,124900,124500,124700,126000,124500
2017-07-11,19423,128064,2487405400,126000,125800,124500,130000,124800
2017-07-13,42488,129216,5490136400,124900,125000,125800,130000,124900
2017-07-18,8800,125544,1104787700,125000,125900,125000,126000,125000
2017-07-20,41431,129057,5346986500,125100,127300,125900,130000,125100
2017-07-25,12730,125345,1595649700,125100,125200,127300,126000,125000
2017-07-27,24008,126251,3031053000,125000,125600,125200,128000,125000
2017-08-01,25315,127333,3223459000,123000,126600,125600,128000,123000
2017-08-03,30935,127425,3941915700,124600,126200,126600,128200,124600
2017-08-08,21578,127010,2740627600,125700,125300,126200,128000,125300
2017-08-10,26867,127779,3433042300,123500,126000,125300,129000,123500
2017-08-17,31909,126780,4045426400,125000,125000,126000,128000,125000
2017-08-22,36000,127498,4589952400,125400,126100,125000,129000,125400
2017-08-24,16598,126893,2106176200,126000,127400,126100,127400,125900
2017-08-29,17279,126387,2183850300,125000,125600,127400,127100,125000
2017-08-31,30543,127018,3879535400,120000,122500,125600,128000,120000
2017-09-05,59748,127582,7622799500,123800,127100,122500,128000,123800
2017-09-07,35870,127195,4562495800,125000,126500,127100,128000,124600
2017-09-12,12390,126135,1562818400,125100,126000,126500,127000,125100
2017-09-14,49360,127443,6290616600,125200,126900,126000,127900,125200
2017-09-19,43754,127675,5586315600,126000,127700,126900,128000,126000
2017-09-21,56006,127648,7149065800,125100,128000,127700,128000,125100
2017-09-26,33603,127603,4287846900,127000,126900,128000,128000,125100
2017-09-28,64274,127359,8185914600,126000,128000,126900,128000,125000
2017-10-10,8222,126189,1037530500,120000,126500,128000,127000,120000
2017-10-12,106460,127470,13570499500,124500,127000,126500,128000,124500
2017-10-17,42979,127447,5477557200,123000,126000,127000,128000,123000
2017-10-19,51909,127676,6627558200,125500,128000,126000,128000,125500
2017-10-24,56851,127926,7272766800,121000,128000,128000,128000,121000
2017-10-26,128942,128158,16525076800,127900,128000,128000,128600,125000
2017-10-31,103146,128239,13227381700,126000,128000,128000,129000,126000
2017-11-02,19255,127810,2460985500,126500,127300,128000,128000,126500
2017-11-07,43894,128112,5623385300,127800,127100,127300,128600,126000
2017-11-09,13505,127596,1723190200,127000,127000,127100,128000,126000
2017-11-14,6687,125584,839782600,126000,125000,127000,127000,125000
2017-11-16,46328,126411,5856370600,125100,125900,125000,127000,125100
2017-11-21,29474,125619,3702502300,126000,124000,125900,126000,124000
2017-11-23,6508,122982,800370300,123500,116500,124000,124000,115000
2017-11-28,5821,102544,596914000,114000,99000,116500,114000,99000
2017-11-30,13051,100637,1313416400,100000,100100,99000,101000,96000
2017-12-05,26537,100202,2659072000,95100,100000,100100,102000,95100
2017-12-07,18851,102760,1937145300,101500,100100,100000,105000,100000
2017-12-12,19125,100957,1930817900,100000,100300,100100,104000,100000
2017-12-14,33043,104461,3451724200,100000,105100,100300,105100,100000
2017-12-19,12510,106032,1326463200,105100,105500,105100,108000,105100
2017-12-21,12327,104582,1289189900,100200,106500,105500,106500,100200
2017-12-26,17822,106940,1905896300,105000,105000,106500,110000,104000
2017-12-28,23536,105043,2472309900,100000,105000,105000,106000,100000
2018-01-02,3430,101404,347818600,100500,101600,105000,101600,100500
2018-01-04,23212,104980,2436818500,101100,106000,101600,106000,101100
2018-01-09,23320,105627,2463243200,102100,105200,106000,107000,102100
2018-01-11,45359,110685,5020588400,101100,110000,105200,115000,101100
2018-01-16,29276,113458,3321599700,101100,115000,110000,115000,101100
2018-01-18,8717,109180,951722300,105600,107500,115000,110500,105600
2018-01-23,62279,116960,7284201700,110000,110200,107500,119000,110000
2018-01-25,36765,115079,4230905600,114500,112000,110200,117000,110000
2018-01-30,36025,113741,4097527500,100000,113000,112000,116000,100000
2018-02-01,38789,113615,4407028900,105500,111400,113000,115000,105100
2018-02-06,34669,112014,3883429800,105000,111200,111400,113000,105000
2018-02-08,50762,111442,5657051600,105000,110600,111200,112000,104000
2018-02-13,48269,109697,5294970100,105100,108000,110600,110000,105000
2018-02-20,55989,109282,6118603700,105000,108000,108000,110000,105000
2018-02-22,62790,109123,6851852800,106000,109500,108000,109500,106000
2018-02-27,59104,108689,6423992700,105000,105800,109500,109100,105000
2018-03-06,23968,101933,2443151900,103000,100900,105800,103000,99000
2018-03-08,25353,99951,2534058700,100000,100000,100900,100200,99500
2018-03-13,41045,99972,4103356100,100000,100000,100000,100000,99800
2018-03-15,29943,99868,2990356500,100000,99900,100000,100000,99600
2018-03-20,58806,99962,5878373900,99800,99900,99900,100000,99600
