기간,회원구분,급전방식,사업구분,지역,원자력,기력,,,,복합화력,,내연력,,양수,신재생,기타,합계
,,,,,,유연탄,무연탄,유류,가스,유류,가스,유류,가스,,,,
2026/05,합계,합계,합계,합계,26050,40366.676999999996,400,65.2,196.3,0,46079.95599999999,96.69999999999996,0,4700,40601.04022900032,459.07499999999993,159087.45536900032
2026/04,합계,합계,합계,합계,26050,40366.676999999996,400,65.2,196.3,465.8,45508.95599999999,96.69999999999996,0,4700,40315.62577300045,459.07499999999993,158696.84091300046
2026/03,합계,합계,합계,합계,26050,40366.676999999996,400,65.2,196.3,465.8,45508.95599999999,96.69999999999996,0,4700,39897.99711800062,459.07499999999993,158279.21225800063
2026/02,합계,합계,합계,합계,26050,40366.676999999996,400,65.2,196.3,465.8,45508.95599999999,96.69999999999996,0,4700,39471.474978000806,507.25499999999994,157828.6901180008
2026/01,합계,합계,합계,합계,26050,40366.676999999996,400,65.2,196.3,465.8,45007.556,96.69999999999996,0,4700,39277.096138000794,507.25499999999994,157132.9112780008
2025/12,합계,합계,합계,합계,26050,40866.676999999996,400,65.2,196.3,465.8,45007.556,96.69999999999996,0,4700,38746.8117630011,467.37499999999994,157062.7469030011
2025/11,합계,합계,합계,합계,26050,40866.676999999996,400,65.2,196.3,465.8,45007.556,96.69999999999996,0,4700,38173.24601800122,455.37499999999994,156477.1811580012
2025/10,합계,합계,합계,합계,26050,40866.676999999996,400,65.2,196.3,465.8,45007.556,96.69999999999996,0,4700,37939.414098001515,455.37499999999994,156243.3492380015
2025/09,합계,합계,합계,합계,26050,40866.676999999996,400,65.2,196.3,465.8,45007.556,96.69999999999996,0,4700,37603.547739001566,449.37499999999994,155901.38303900155
2025/08,합계,합계,합계,합계,26050,40866.676999999996,400,65.2,196.3,465.8,45007.556,96.69999999999996,0,4700,37356.45688500173,449.37499999999994,155655.29167500173
2025/07,합계,합계,합계,합계,26050,40867.882,400,65.2,196.3,465.8,45007.556,96.69999999999996,0,4700,37008.27625400193,449.37499999999994,155308.31604400193
2025/06,합계,합계,합계,합계,26050,40867.882,400,65.2,196.3,465.8,45007.556,96.69999999999996,0,4700,36616.65300900198,449.37499999999994,154916.692799002
2025/05,합계,합계,합계,합계,26050,40867.882,400,65.2,196.3,465.8,45007.556,96.69999999999996,0,4700,36373.797118002,449.37499999999994,154672.739018002
2025/04,합계,합계,합계,합계,26050,40867.882,400,65.2,196.3,465.8,45007.556,96.69999999999996,0,4700,36004.06764300216,448.87499999999994,154302.50954300215
2025/03,합계,합계,합계,합계,26050,40867.882,400,65.2,196.3,465.8,45007.556,96.69999999999996,0,4700,35606.465702002315,448.61499999999995,153904.6476020023
2025/02,합계,합계,합계,합계,26050,40867.882,400,65.2,196.3,465.8,45007.556,96.69999999999996,0,4700,35177.89065300242,449.37499999999994,153476.8325530024
2025/01,합계,합계,합계,합계,26050,40867.882,400,65.2,466.3,465.8,44737.556,96.69999999999996,0,4700,35070.65392800246,449.37499999999994,153384.38113800244
2024/12,합계,합계,합계,합계,26050,39817.882,400,65.2,1866.3,465.8,44467.556,96.54999999999995,0,4700,34677.629558002634,449.37499999999994,153071.2067680026
2024/11,합계,합계,합계,합계,26050,39817.882,400,65.2,1866.3,465.8,43362.956,96.54999999999995,0,4700,34417.46967300284,449.53499999999997,151706.60688300282
2024/10,합계,합계,합계,합계,26050,39817.882,400,65.2,1866.3,465.8,43362.956,96.54999999999995,0,4700,34027.63954400281,449.53499999999997,151316.7767540028
2024/09,합계,합계,합계,합계,26050,39817.882,400,65.2,1866.3,465.8,42350.956,96.54999999999995,0,4700,33629.80757900304,449.53499999999997,149906.94478900303
2024/08,합계,합계,합계,합계,26050,39817.882,400,65.2,1596.3,465.8,42350.956,96.54999999999995,0,4700,33387.401149003046,446.63499999999993,149389.845799003
2024/07,합계,합계,합계,합계,26050,39817.882,400,65.2,1596.3,465.8,42350.956,96.54999999999995,0,4700,33143.84701900288,446.63499999999993,149146.29166900285
2024/06,합계,합계,합계,합계,26050,39817.882,400,65.2,1596.3,465.8,42350.956,96.54999999999995,0,4700,32707.656184002895,446.63499999999993,148709.10808400286
2024/05,합계,합계,합계,합계,26050,39817.882,400,65.2,1596.3,465.8,41753.784999999996,96.54999999999995,0,4700,32436.043854002986,447.03499999999997,147840.724754003
2024/04,합계,합계,합계,합계,26050,38767.882,400,108.7,1596.3,465.8,41753.784999999996,136.54999999999995,0,4700,32365.483534002993,447.03499999999997,146803.664434003
2024/03,합계,합계,합계,합계,24650,38767.882,400,152.2,1596.3,465.8,41753.784999999996,136.54999999999995,0,4700,32136.913634003053,447.03499999999997,145218.59453400306
2024/02,합계,합계,합계,합계,24650,38767.882,400,108.7,1596.3,465.8,41753.784999999996,136.54999999999995,0,4700,31966.67841400305,455.23499999999996,145013.05931400304
2024/01,합계,합계,합계,합계,24650,38767.882,400,108.7,1596.3,612.045,41594.989,136.54999999999995,0,4700,31708.874204003238,458.93499999999995,144746.40410400325
2023/12,합계,합계,합계,합계,24650,38767.882,400,108.7,1596.3,612.045,41594.989,136.54999999999995,0,4700,31377.56443200326,458.6449999999999,144414.80433200326
2023/11,합계,합계,합계,합계,24650,38826.922,400,108.7,1596.3,612.045,41594.989,136.54999999999995,0,4700,31276.580947003262,458.6449999999999,144373.36064700328
2023/10,합계,합계,합계,합계,24650,38826.922,400,108.7,1596.3,612.045,41594.989,136.54999999999995,0,4700,30635.448983003203,457.1449999999999,143730.72868300322
2023/09,합계,합계,합계,합계,24650,38826.922,400,108.7,1596.3,612.045,41594.989,136.54999999999995,0,4700,30390.327590003137,457.76499999999993,143486.22729000315
