구분,수력,,,,기력,,,,,복합화력,,,원자력,신재생,집단,내연력,기타,총계
,일반,양수,소수력,계,무연탄,유연탄,중유,LNG,계,LNG,유류,계,,,,,,
양수,0,4700,0,4700,0,0,0,0,0,0,0,0,0,0,0,0,0,4700
무연탄,0,0,0,0,400,0,0,0,400,0,0,0,0,0,0,0,0,400
유연탄,0,0,0,0,0,34950.658,0,0,34950.658,0,0,0,0,0,1502.724,0,0,36453.382
유류,0,0,0,0,0,0,1200,0,1200,0,612.045,612.045,0,0,259.3,175.68,0,2247.025
LNG,0,0,0,0,0,0,0,1400,1400,32400.807,0,32400.807,0,0,7368.96,0,0,41169.767
원자력,0,0,0,0,0,0,0,0,0,0,0,0,23250,0,0,0,0,23250
기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,366.204,426.204
소계,0,4700,0,4700,400,34950.658,1200,1400,37950.658,32400.807,612.045,33012.852,23250,0,9190.984,175.68,48.9,108329.074
수력,1581.98,0,223.7884,1805.7684,0,0,0,0,0,0,0,0,0,0,0,0,0,1805.7684
태양에너지,0,0,0,0,0,0,0,0,0,0,0,0,0,14574.79267,0,0,0,14574.79267
풍력,0,0,0,0,0,0,0,0,0,0,0,0,0,1635.8024,0,0,0,1635.8024
해양에너지,0,0,0,0,0,0,0,0,0,0,0,0,0,255.5,0,0,0,255.5
바이오에너지,0,0,0,0,0,0,0,0,0,0,0,0,0,1321.988,0,0,0,1321.988
폐기물에너지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
매립가스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
연료전지,0,0,0,0,0,0,0,0,0,0,0,0,0,604.714,0,0,0,604.714
석탄액화가스,0,0,0,0,0,0,0,0,0,0,0,0,0,346.33,0,0,0,346.33
신재생 계,1581.98,0,223.7884,1805.7684,0,0,0,0,0,0,0,0,0,18739.12707,0,0,317.304,20862.19947
총      계,1581.98,4700,223.7884,6505.7684,400,34950.658,1200,1400,37950.658,32400.807,612.045,33012.852,23250,18739.12707,9190.984,175.68,366.204,129191.2735
