기간,회원구분,급전방식,사업구분,지역,원자력,유연탄,무연탄,유류,LNG,양수,신재생,,,,,,,,기타,합계
,,,,,,,,,,,연료전지,석탄가스화,태양,풍력,수력,해양,바이오,폐기물,,
2026/05,합계,합계,합계,합계,26050,40366.676999999996,400,161.89999999999998,46276.255999999994,4700,1453.8319999999997,346.33,32416.86892900032,2470.4716999999996,1815.5364,254.58,1843.4212,0,459.07499999999993,159087.45536900032
2026/04,합계,합계,합계,합계,26050,40366.676999999996,400,627.6999999999999,45705.255999999994,4700,1453.8319999999997,346.33,32131.45447300045,2470.4716999999996,1815.5364,254.58,1843.4212,0,459.07499999999993,158696.84091300046
2026/03,합계,합계,합계,합계,26050,40366.676999999996,400,627.6999999999999,45705.255999999994,4700,1328.542,346.33,31839.102818000607,2470.4716999999996,1815.5494,254.58,1843.4212,0,459.07499999999993,158279.21225800063
2026/02,합계,합계,합계,합계,26050,40366.676999999996,400,627.6999999999999,45705.255999999994,4700,1325.9019999999998,346.33,31430.95567800081,2454.8716999999997,1815.4144000000001,254.58,1843.4212,0,507.25499999999994,157828.6901180008
2026/01,합계,합계,합계,합계,26050,40366.676999999996,400,627.6999999999999,45203.85599999999,4700,1296.4219999999998,346.33,31283.656838000792,2437.2717,1815.4144000000001,254.58,1843.4212,0,507.25499999999994,157132.9112780008
2025/12,합계,합계,합계,합계,26050,40866.676999999996,400,627.6999999999999,45203.85599999999,4700,1288.9419999999998,346.33,30760.95246300109,2437.2717,1815.3144,254.58,1843.4212,0,467.37499999999994,157062.7469030011
2025/11,합계,합계,합계,합계,26050,40866.676999999996,400,627.6999999999999,45203.85599999999,4700,1241.8419999999996,346.33,30321.864718001216,2351.8716999999997,1815.3364000000001,254.58,1841.4212,0,455.37499999999994,156477.1811580012
2025/10,합계,합계,합계,합계,26050,40866.676999999996,400,627.6999999999999,45203.85599999999,4700,1239.4419999999996,346.33,30056.846798001516,2385.8716999999997,1815.3364000000001,254.58,1841.0072,0,455.37499999999994,156243.3492380015
2025/09,합계,합계,합계,합계,26050,40866.676999999996,400,627.6999999999999,45203.85599999999,4700,1239.4419999999996,346.33,29716.380439001558,2385.8716999999997,1815.3364000000001,254.58,1845.6072,0,449.37499999999994,155901.38303900155
2025/08,합계,합계,합계,합계,26050,40866.676999999996,400,627.6999999999999,45203.85599999999,4700,1237.0419999999995,346.33,29568.314785001723,2289.8716999999997,1814.5864000000001,254.58,1845.732,0,449.37499999999994,155655.29167500173
2025/07,합계,합계,합계,합계,26050,40867.882,400,627.6999999999999,45203.85599999999,4700,1234.6419999999994,346.33,29222.860154001926,2289.8716999999997,1814.2604000000001,254.58,1845.732,0,449.37499999999994,155308.31604400193
2025/06,합계,합계,합계,합계,26050,40867.882,400,627.6999999999999,45203.85599999999,4700,1214.8419999999994,346.33,28874.710909001977,2266.3716999999997,1814.2764000000002,254.58,1845.542,0,449.37499999999994,154916.692799002
2025/05,합계,합계,합계,합계,26050,40867.882,400,627.6999999999999,45203.85599999999,4700,1195.2519999999995,346.33,28654.445018002007,2263.3716999999997,1814.2764000000002,254.58,1845.542,0,449.37499999999994,154672.739018002
2025/04,합계,합계,합계,합계,26050,40867.882,400,627.6999999999999,45203.85599999999,4700,1195.2519999999995,346.33,28285.39054300216,2263.3716999999997,1814.2014000000001,254.58,1844.942,0,448.87499999999994,154302.50954300215
2025/03,합계,합계,합계,합계,26050,40867.882,400,627.6999999999999,45203.85599999999,4700,1183.1719999999993,346.33,27901.12360200231,2263.3716999999997,1812.9464,254.58,1844.942,0,448.61499999999995,153904.6476020023
2025/02,합계,합계,합계,합계,26050,40867.882,400,627.6999999999999,45203.85599999999,4700,1163.3719999999994,346.33,27489.358553002417,2263.3716999999997,1814.3964,254.58,1846.482,0,449.37499999999994,153476.8325530024
2025/01,합계,합계,합계,합계,26050,40867.882,400,627.6999999999999,45203.856,4700,1105.4019999999996,346.33,27452.92682800246,2263.3716999999997,1802.3964,254.58,1845.647,0,449.37499999999994,153384.38113800244
2024/12,합계,합계,합계,합계,26050,39817.882,400,627.55,46333.856,4700,1085.6019999999996,346.33,27094.842458002626,2247.7717,1802.8564,254.58,1845.647,0,449.37499999999994,153071.2067680026
2024/11,합계,합계,합계,합계,26050,39817.882,400,627.55,45229.255999999994,4700,1085.6019999999996,346.33,26834.682573002832,2247.7717,1802.8564,254.58,1845.647,0,449.53499999999997,151706.60688300282
2024/10,합계,합계,합계,합계,26050,39817.882,400,627.55,45229.255999999994,4700,1080.8019999999995,346.33,26466.31244400281,2231.0917,1802.8764,254.58,1845.647,0,449.53499999999997,151316.7767540028
2024/09,합계,합계,합계,합계,26050,39817.882,400,627.55,44217.255999999994,4700,1072.3319999999994,346.33,26076.950479003037,2231.0917,1802.8764,254.58,1845.647,0,449.53499999999997,149906.94478900303
2024/08,합계,합계,합계,합계,26050,39817.882,400,627.55,43947.255999999994,4700,1072.3319999999994,346.33,25835.29404900304,2230.3417,1802.8764,254.58,1845.647,0,446.63499999999993,149389.845799003
2024/07,합계,합계,합계,합계,26050,39817.882,400,627.55,43947.255999999994,4700,1053.8519999999994,346.33,25610.21991900288,2230.3417,1802.8764,254.58,1845.647,0,446.63499999999993,149146.29166900285
2024/06,합계,합계,합계,합계,26050,39817.882,400,627.55,43947.255999999994,4700,1053.8519999999994,346.33,25172.388784002895,2230.312,1804.5464,254.58,1845.647,0,446.63499999999993,148709.10808400286
2024/05,합계,합계,합계,합계,26050,39817.882,400,627.55,43350.085,4700,1033.0289999999995,346.33,24924.749454002984,2226.112,1804.5464,254.58,1846.6970000000001,0,447.03499999999997,147840.724754003
2024/04,합계,합계,합계,합계,26050,38767.882,400,711.05,43350.085,4700,1063.6289999999997,346.33,24862.589134002992,2226.112,1804.5464,255.58,1806.6970000000001,0,447.03499999999997,146803.664434003
2024/03,합계,합계,합계,합계,24650,38767.882,400,754.55,43350.085,4700,1063.6289999999997,346.33,24668.319234003047,2191.712,1804.8464,255.58,1806.497,0,447.03499999999997,145218.59453400306
2024/02,합계,합계,합계,합계,24650,38767.882,400,711.05,43350.085,4700,1066.0289999999998,346.33,24490.38401400305,2191.712,1804.5964,255.58,1812.0469999999998,0,455.23499999999996,145013.05931400304
2024/01,합계,합계,합계,합계,24650,38767.882,400,857.295,43191.289000000004,4700,1066.0289999999998,346.33,24234.579804003235,2191.712,1804.5964,255.58,1810.0469999999998,0,458.93499999999995,144746.40410400325
2023/12,합계,합계,합계,합계,24650,38767.882,400,857.295,43191.289000000004,4700,1065.7539999999997,346.33,23942.806032003256,2151.362,1804.9964,255.58,1810.736,0,458.6449999999999,144414.80433200326
2023/11,합계,합계,합계,합계,24650,38826.922,400,857.295,43191.289000000004,4700,1065.7539999999997,346.33,24000.552547003263,1991.0819999999999,1804.9964,255.58,1812.2859999999998,0,458.6449999999999,144373.36064700328
2023/10,합계,합계,합계,합계,24650,38826.922,400,857.295,43191.289000000004,4700,1047.7539999999997,346.33,23433.540583003207,1940.6819999999998,1799.9964,255.58,1811.5659999999998,0,457.1449999999999,143730.72868300322
2023/09,합계,합계,합계,합계,24650,38826.922,400,857.295,43191.289000000004,4700,1026.9889999999996,346.33,23218.883190003133,1931.4819999999997,1799.5964,255.58,1811.4669999999999,0,457.76499999999993,143486.22729000315
2023/08,합계,합계,합계,합계,24650,38826.922,400,817.295,43191.289000000004,4700,948.9139999999996,346.33,23088.491370003107,1931.4819999999997,1799.9974,255.58,1851.5659999999998,0,580.2649999999999,143400.76047000312
2023/07,합계,합계,합계,합계,24650,38767.882,400,817.295,43072.317,4700,948.9139999999996,346.33,22562.157600003102,1931.4819999999997,1799.6124,255.58,1851.4669999999999,0,451.56499999999994,142567.2307000031
2023/06,합계,합계,합계,합계,24650,38767.882,400,817.295,41696.457,4700,952.0139999999996,346.33,22322.34790500305,1931.8242699999998,1799.8124,255.58,1849.668,0,453.66499999999996,140955.50427500304
2023/05,합계,합계,합계,합계,24650,38767.882,400,817.295,41201.457,4700,917.2139999999996,346.33,22128.632695003053,1931.8242699999998,1799.8024,255.58,1854.739,0,456.56499999999994,140239.95006500304
2023/04,합계,합계,합계,합계,24650,37727.882,400,817.295,41201.457,4700,917.2139999999996,346.33,21993.380555003063,1931.4419999999998,1799.8154,255.58,1855.8290000000002,0,456.56499999999994,139065.41865500307
2023/03,합계,합계,합계,합계,24650,37727.882,400,915.5949999999999,41201.457,4700,882.0739999999996,346.33,21962.848110003037,1931.5964,1801.1154000000001,255.58,1805.095,0,456.56499999999994,139048.76661000305
2023/02,합계,합계,합계,합계,24650,37727.882,400,915.5949999999999,41201.457,4700,873.9739999999996,346.33,21765.90548000304,1934.5064,1801.1154000000001,255.58,1805.095,0,456.8649999999999,138846.30528000303
2023/01,합계,합계,합계,합계,24650,37727.882,400,920.155,41201.457,4700,878.9539999999996,346.33,21554.355570006293,1934.5023999999999,1800.4234,255.58,1805.1019999999999,0,456.5949999999999,138631.33637000626
2022/12,합계,합계,합계,합계,24650,37727.882,400,920.155,41201.457,4700,878.9539999999996,346.33,20974.720910006214,1892.5023999999999,1812.4234,255.58,1801.002,0,456.5949999999999,138017.60171000622
2022/11,합계,합계,합계,합계,23250,37727.882,400,920.155,41201.457,4700,885.7739999999995,346.33,20734.153420006147,1778.8229999999999,1811.9134,255.58,1799.4620000000002,0,456.5949999999999,136268.12482000614
2022/10,합계,합계,합계,합계,23250,36687.882,400,920.155,41201.457,4700,857.5739999999996,346.33,20531.261708006088,1774.6229999999998,1810.6134,255.58,1799.5420000000001,0,455.8349999999999,134990.85310800606
2022/09,합계,합계,합계,합계,23250,36687.882,400,920.155,41201.457,4700,831.5739999999996,346.33,20355.526423006093,1753.6229999999998,1810.6134,255.58,1799.5420000000001,0,455.8349999999999,134768.11782300606
2022/08,합계,합계,합계,합계,23250,36687.882,400,920.155,41201.457,4700,831.4689999999997,346.33,20280.05511300605,1753.6229999999998,1811.9134,255.58,1799.5420000000001,0,456.5949999999999,134694.60151300603
2022/07,합계,합계,합계,합계,23250,36687.882,400,960.155,41201.457,4700,805.7289999999996,346.33,19904.98412300588,1753.6429999999998,1811.9134,255.58,1756.5420000000001,0,456.5949999999999,134290.81052300587
2022/06,합계,합계,합계,합계,23250,36937.882,400,960.155,41201.457,4700,805.7289999999996,346.33,19881.515448005885,1753.6429999999998,1811.8334,255.58,1446.5420000000001,0,517.504,134268.17084800586
2022/05,합계,합계,합계,합계,23250,36937.882,400,960.155,41201.457,4700,806.5689999999996,346.33,19540.56222300432,1734.8429999999998,1819.9974,255.5,1446.1120000000003,0,517.504,133916.9116230043
2022/04,합계,합계,합계,합계,23250,36937.882,400,960.155,41201.457,4700,794.2489999999996,346.33,19323.79902800551,1726.8429999999998,1820.0484,255.5,1446.0920000000003,0,517.60336,133679.9587880055
