거래일,연료원,거래시간,전력거래량(MWh)
2023-11-01,원자력,1,20861
2023-11-01,원자력,2,20862
2023-11-01,원자력,3,20860
2023-11-01,원자력,4,20862
2023-11-01,원자력,5,20862
2023-11-01,원자력,6,20867
2023-11-01,원자력,7,20871
2023-11-01,원자력,8,20871
2023-11-01,원자력,9,20868
2023-11-01,원자력,10,20867
2023-11-01,원자력,11,20869
2023-11-01,원자력,12,20864
2023-11-01,원자력,13,20860
2023-11-01,원자력,14,20862
2023-11-01,원자력,15,20866
2023-11-01,원자력,16,20866
2023-11-01,원자력,17,20864
2023-11-01,원자력,18,20861
2023-11-01,원자력,19,20864
2023-11-01,원자력,20,20866
2023-11-01,원자력,21,20869
2023-11-01,원자력,22,20878
2023-11-01,원자력,23,20877
2023-11-01,원자력,24,20880
2023-11-01,유연탄,1,18967
2023-11-01,유연탄,2,18834
2023-11-01,유연탄,3,18870
2023-11-01,유연탄,4,18910
2023-11-01,유연탄,5,18989
2023-11-01,유연탄,6,19284
2023-11-01,유연탄,7,19779
2023-11-01,유연탄,8,19573
2023-11-01,유연탄,9,19670
2023-11-01,유연탄,10,18668
2023-11-01,유연탄,11,17774
2023-11-01,유연탄,12,16841
2023-11-01,유연탄,13,16215
2023-11-01,유연탄,14,17101
2023-11-01,유연탄,15,18078
2023-11-01,유연탄,16,18853
2023-11-01,유연탄,17,20126
2023-11-01,유연탄,18,20390
2023-11-01,유연탄,19,20081
2023-11-01,유연탄,20,20155
2023-11-01,유연탄,21,19875
2023-11-01,유연탄,22,19912
2023-11-01,유연탄,23,20272
2023-11-01,유연탄,24,20346
2023-11-01,무연탄,1,155
2023-11-01,무연탄,2,150
2023-11-01,무연탄,3,150
2023-11-01,무연탄,4,151
2023-11-01,무연탄,5,150
2023-11-01,무연탄,6,150
2023-11-01,무연탄,7,155
2023-11-01,무연탄,8,159
2023-11-01,무연탄,9,164
2023-11-01,무연탄,10,167
2023-11-01,무연탄,11,167
2023-11-01,무연탄,12,167
2023-11-01,무연탄,13,161
2023-11-01,무연탄,14,153
2023-11-01,무연탄,15,151
2023-11-01,무연탄,16,156
2023-11-01,무연탄,17,157
2023-11-01,무연탄,18,160
2023-11-01,무연탄,19,161
2023-11-01,무연탄,20,161
2023-11-01,무연탄,21,161
2023-11-01,무연탄,22,157
2023-11-01,무연탄,23,157
2023-11-01,무연탄,24,157
2023-11-01,바이오가스,1,36
2023-11-01,바이오가스,2,36
2023-11-01,바이오가스,3,29
2023-11-01,바이오가스,4,33
2023-11-01,바이오가스,5,34
2023-11-01,바이오가스,6,35
2023-11-01,바이오가스,7,34
2023-11-01,바이오가스,8,34
2023-11-01,바이오가스,9,35
2023-11-01,바이오가스,10,34
2023-11-01,바이오가스,11,35
2023-11-01,바이오가스,12,35
2023-11-01,바이오가스,13,36
2023-11-01,바이오가스,14,35
2023-11-01,바이오가스,15,33
2023-11-01,바이오가스,16,31
2023-11-01,바이오가스,17,32
2023-11-01,바이오가스,18,34
2023-11-01,바이오가스,19,35
2023-11-01,바이오가스,20,35
2023-11-01,바이오가스,21,34
2023-11-01,바이오가스,22,35
2023-11-01,바이오가스,23,35
2023-11-01,바이오가스,24,35
2023-11-01,부생가스,1,84
2023-11-01,부생가스,2,84
2023-11-01,부생가스,3,84
2023-11-01,부생가스,4,84
2023-11-01,부생가스,5,84
2023-11-01,부생가스,6,84
2023-11-01,부생가스,7,83
2023-11-01,부생가스,8,123
2023-11-01,부생가스,9,256
2023-11-01,부생가스,10,309
2023-11-01,부생가스,11,367
2023-11-01,부생가스,12,334
2023-11-01,부생가스,13,390
2023-11-01,부생가스,14,354
2023-11-01,부생가스,15,308
2023-11-01,부생가스,16,310
2023-11-01,부생가스,17,326
2023-11-01,부생가스,18,312
2023-11-01,부생가스,19,298
2023-11-01,부생가스,20,301
2023-11-01,부생가스,21,305
2023-11-01,부생가스,22,308
2023-11-01,부생가스,23,123
2023-11-01,부생가스,24,79
2023-11-01,수력,1,166
2023-11-01,수력,2,106
2023-11-01,수력,3,103
2023-11-01,수력,4,99
2023-11-01,수력,5,97
2023-11-01,수력,6,95
2023-11-01,수력,7,96
2023-11-01,수력,8,142
2023-11-01,수력,9,444
2023-11-01,수력,10,469
2023-11-01,수력,11,526
2023-11-01,수력,12,471
2023-11-01,수력,13,241
2023-11-01,수력,14,427
2023-11-01,수력,15,412
2023-11-01,수력,16,538
2023-11-01,수력,17,409
2023-11-01,수력,18,375
2023-11-01,수력,19,320
2023-11-01,수력,20,264
2023-11-01,수력,21,230
2023-11-01,수력,22,204
2023-11-01,수력,23,210
2023-11-01,수력,24,202
2023-11-01,양수,1,308
2023-11-01,양수,2,0
2023-11-01,양수,3,0
2023-11-01,양수,4,0
2023-11-01,양수,5,0
2023-11-01,양수,6,0
2023-11-01,양수,7,0
2023-11-01,양수,8,0
2023-11-01,양수,9,0
2023-11-01,양수,10,0
2023-11-01,양수,11,0
2023-11-01,양수,12,0
2023-11-01,양수,13,0
2023-11-01,양수,14,0
2023-11-01,양수,15,0
2023-11-01,양수,16,62
2023-11-01,양수,17,197
2023-11-01,양수,18,1012
2023-11-01,양수,19,2049
2023-11-01,양수,20,2139
2023-11-01,양수,21,2145
2023-11-01,양수,22,1450
2023-11-01,양수,23,920
2023-11-01,양수,24,72
2023-11-01,매립가스,1,28
2023-11-01,매립가스,2,28
2023-11-01,매립가스,3,28
2023-11-01,매립가스,4,28
2023-11-01,매립가스,5,28
2023-11-01,매립가스,6,28
2023-11-01,매립가스,7,29
2023-11-01,매립가스,8,29
2023-11-01,매립가스,9,28
2023-11-01,매립가스,10,28
2023-11-01,매립가스,11,27
2023-11-01,매립가스,12,27
2023-11-01,매립가스,13,28
2023-11-01,매립가스,14,28
2023-11-01,매립가스,15,28
2023-11-01,매립가스,16,28
2023-11-01,매립가스,17,28
2023-11-01,매립가스,18,28
2023-11-01,매립가스,19,28
2023-11-01,매립가스,20,29
2023-11-01,매립가스,21,29
2023-11-01,매립가스,22,28
2023-11-01,매립가스,23,28
2023-11-01,매립가스,24,28
2023-11-01,중유,1,17
2023-11-01,중유,2,17
2023-11-01,중유,3,16
2023-11-01,중유,4,16
2023-11-01,중유,5,17
2023-11-01,중유,6,17
2023-11-01,중유,7,16
2023-11-01,중유,8,17
2023-11-01,중유,9,17
2023-11-01,중유,10,17
2023-11-01,중유,11,17
2023-11-01,중유,12,16
2023-11-01,중유,13,5
2023-11-01,중유,14,5
2023-11-01,중유,15,5
2023-11-01,중유,16,5
2023-11-01,중유,17,5
2023-11-01,중유,18,5
2023-11-01,중유,19,5
2023-11-01,중유,20,5
2023-11-01,중유,21,6
2023-11-01,중유,22,5
2023-11-01,중유,23,5
2023-11-01,중유,24,5
2023-11-01,태양광,1,5
2023-11-01,태양광,2,1
2023-11-01,태양광,3,0
2023-11-01,태양광,4,0
2023-11-01,태양광,5,0
2023-11-01,태양광,6,0
2023-11-01,태양광,7,1
