model,feature_group,n_features,mae_level,rmse_level,mape_level,r2_level,delta_mae,delta_direction_accuracy,n_observations
persistence_monthly,all_features,80,6.42653846153846,8.273699061112032,5.46381495139709,0.5557323681644328,6.42653846153846,0.0,26
delta_ridge,all_features,80,13.032515619903533,16.021278794843905,11.416922643550404,-0.6658641727687304,13.032515619903533,0.46153846153846156,26
monthly_ar_ridge,all_features,80,19.176273552076545,22.502722554376202,17.232198929655357,-2.2863617223072303,19.176273552076545,0.5,26
ridge,all_features,80,19.176273552076545,22.502722554376202,17.232198929655357,-2.2863617223072303,19.176273552076545,0.5,26
monthly_ar_ridge,calendar_only,8,72.57561527158128,73.90223004120449,61.034955694395634,-34.44543574228783,72.57561527158128,0.5,26
ridge,calendar_only,8,72.57561527158128,73.90223004120449,61.034955694395634,-34.44543574228783,72.57561527158128,0.5,26
monthly_ar_ridge,smp_lags_without_smp_t_observed,9,10.257962434216392,12.406482471863793,8.67268706640525,0.0010527287269600505,10.257962434216392,0.5769230769230769,26
ridge,smp_lags_without_smp_t_observed,9,10.257962434216392,12.406482471863793,8.67268706640525,0.0010527287269600505,10.257962434216392,0.5769230769230769,26
monthly_ar_ridge,smp_t_observed_only,1,6.347433678649953,8.105788740364481,5.386544270178114,0.5735817401505838,6.347433678649953,0.5,26
ridge,smp_t_observed_only,1,6.347433678649953,8.105788740364481,5.386544270178114,0.5735817401505838,6.347433678649953,0.5,26
persistence_monthly,smp_t_observed_only,1,6.42653846153846,8.273699061112032,5.46381495139709,0.5557323681644328,6.42653846153846,0.0,26
persistence_monthly,smp_t_observed_plus_calendar,9,6.42653846153846,8.273699061112032,5.46381495139709,0.5557323681644328,6.42653846153846,0.0,26
monthly_ar_ridge,smp_t_observed_plus_calendar,9,8.14590564159014,10.489808892620418,6.884406724078075,0.28586489142911087,8.14590564159014,0.46153846153846156,26
ridge,smp_t_observed_plus_calendar,9,8.14590564159014,10.489808892620418,6.884406724078075,0.28586489142911087,8.14590564159014,0.46153846153846156,26
delta_ridge,smp_t_observed_plus_calendar,9,8.174315225012263,10.430885550821596,7.066683251578739,0.29386523611235216,8.174315225012263,0.3076923076923077,26
persistence_monthly,smp_t_observed_plus_capacity,33,6.42653846153846,8.273699061112032,5.46381495139709,0.5557323681644328,6.42653846153846,0.0,26
monthly_ar_ridge,smp_t_observed_plus_capacity,33,26.263742285538868,28.14302656216818,23.121440909969543,-4.1402806752130505,26.263742285538868,0.5,26
ridge,smp_t_observed_plus_capacity,33,26.263742285538868,28.14302656216818,23.121440909969543,-4.1402806752130505,26.263742285538868,0.5,26
delta_ridge,smp_t_observed_plus_capacity,33,28.3686806641905,30.07261381021112,24.8547997478799,-4.8693172750117695,28.3686806641905,0.5,26
delta_ridge,smp_t_observed_plus_settlement,11,6.372000661323657,8.670542870400842,5.411294066253248,0.5120921426912033,6.372000661323657,0.6923076923076923,26
persistence_monthly,smp_t_observed_plus_settlement,11,6.42653846153846,8.273699061112032,5.46381495139709,0.5557323681644328,6.42653846153846,0.0,26
monthly_ar_ridge,smp_t_observed_plus_settlement,11,7.336070030246777,9.335035256361806,6.240777219883058,0.4344419904362403,7.336070030246777,0.5384615384615384,26
ridge,smp_t_observed_plus_settlement,11,7.336070030246777,9.335035256361806,6.240777219883058,0.4344419904362403,7.336070030246777,0.5384615384615384,26
monthly_ar_ridge,smp_t_observed_plus_transaction,21,6.347433678649955,8.105788740364485,5.386544270178116,0.5735817401505836,6.347433678649955,0.5,26
ridge,smp_t_observed_plus_transaction,21,6.347433678649955,8.105788740364485,5.386544270178116,0.5735817401505836,6.347433678649955,0.5,26
persistence_monthly,smp_t_observed_plus_transaction,21,6.42653846153846,8.273699061112032,5.46381495139709,0.5557323681644328,6.42653846153846,0.0,26
delta_ridge,smp_t_observed_plus_transaction,21,6.426538461538461,8.275108590613598,5.46776269505805,0.5555809820261891,6.426538461538461,0.5,26
