model,split,mae,rmse,mape,smape,r2,directional_accuracy,peak_precision,peak_recall,peak_f1,peak_threshold,n_observations,delta_mae,delta_direction_accuracy
persistence_monthly,test,6.42653846153846,8.273699061112032,5.46381495139709,5.453276584254618,0.5557323681644328,0.52,0.3333333333333333,0.3333333333333333,0.3333333333333333,133.43,26,6.42653846153846,0.0
delta_ar_ridge,test,6.686480661132368,8.980712087823184,5.602282564505448,5.703351689997523,0.47656015404847685,0.48,0.5,0.3333333333333333,0.4,133.43,26,6.686480661132368,0.5769230769230769
monthly_ar_ridge,test,6.9039006270983245,9.027029238266437,5.828372914450211,5.913592350154218,0.4711470508296439,0.48,0.5,0.3333333333333333,0.4,133.43,26,6.9039006270983245,0.4230769230769231
delta_ridge,test,7.895708258661472,9.898228865245004,6.746388028301599,6.749580921324267,0.36414188996500263,0.56,0.5,0.3333333333333333,0.4,133.43,26,7.895708258661472,0.38461538461538464
ridge,test,8.690601878906849,10.947738079032899,7.451638210026807,7.552588089061461,0.22215327177279476,0.52,0.5,0.3333333333333333,0.4,133.43,26,8.690601878906849,0.5
naive_lag_1m,test,9.396538461538462,12.01321371849156,8.212533456195906,8.029072945358589,0.06337954315357108,0.48,0.25,0.3333333333333333,0.28571428571428575,133.43,26,9.396538461538462,0.5
delta_lightgbm,test,9.910475496960345,11.9331904154624,8.628611910424077,8.4213915097324,0.07581615308884515,0.48,0.6666666666666666,0.6666666666666666,0.6666666666666666,133.43,26,9.910475496960345,0.34615384615384615
lightgbm,test,10.472893135836387,13.235699879702045,9.340410534854145,8.737233574544232,-0.13694394786355635,0.44,0.5,1.0,0.6666666666666666,133.43,26,10.472893135836387,0.38461538461538464
seasonal_naive_lag_12m,test,22.201153846153847,34.23665203123244,18.687737578747143,15.791999001184307,-6.607252121577616,0.6,0.23076923076923078,1.0,0.375,133.43,26,22.201153846153847,0.5
lightgbm,train,2.4300535843287623,3.8765980678844834,2.362986305667855,2.3291580902206013,0.9855277877433317,0.8677685950413223,0.7692307692307693,0.7692307692307693,0.7692307692307693,150.173,122,2.4300535843287623,0.8852459016393442
delta_lightgbm,train,2.6388044542407942,4.235264031728579,2.4541447572319415,2.4290906348462564,0.9827259427942969,0.8099173553719008,0.7857142857142857,0.8461538461538461,0.8148148148148148,150.173,122,2.6388044542407942,0.8934426229508197
ridge,train,6.337137874051877,8.91962904964972,6.311466724392542,6.196736266683554,0.9233826794047075,0.6198347107438017,0.6666666666666666,0.6153846153846154,0.64,150.173,122,6.337137874051877,0.6475409836065574
delta_ridge,train,6.617543285835835,9.17630824631436,6.470270351973066,6.3906580394390815,0.918909615243949,0.5867768595041323,0.75,0.6923076923076923,0.7199999999999999,150.173,122,6.617543285835835,0.6311475409836066
delta_ar_ridge,train,7.03272839406378,9.861058480170646,6.942838802774104,6.83548139894004,0.9063558952164655,0.5537190082644629,0.8888888888888888,0.6153846153846154,0.7272727272727274,150.173,122,7.03272839406378,0.5655737704918032
monthly_ar_ridge,train,7.083023974567462,9.847606129882813,7.071791396325701,6.943601529148125,0.9066112175117622,0.5289256198347108,0.9,0.6923076923076923,0.7826086956521738,150.173,122,7.083023974567462,0.6147540983606558
persistence_monthly,train,7.300901639344262,10.099405070937854,7.185058851229844,7.076176755550216,0.9017743398341566,0.5206611570247934,0.8333333333333334,0.7692307692307693,0.8,150.173,122,7.300901639344262,0.0
naive_lag_1m,train,10.084836065573771,13.85625978559516,10.39716404335283,10.096616187478517,0.8151048974361473,0.5537190082644629,0.5833333333333334,0.5384615384615384,0.5599999999999999,150.173,122,10.084836065573771,0.4918032786885246
seasonal_naive_lag_12m,train,21.526475409836067,29.971982066863603,22.837282680084485,20.898406012875405,0.1349040044989086,0.48760330578512395,0.23076923076923078,0.23076923076923078,0.23076923076923078,150.173,122,21.526475409836067,0.45081967213114754
delta_ridge,valid,18.56213236700543,24.574326412586146,10.718264520637673,10.245617868130395,0.7188373984350589,0.52,0.25,0.3333333333333333,0.28571428571428575,246.89,26,18.56213236700543,0.5384615384615384
delta_ar_ridge,valid,19.428117585889808,24.859971337598033,11.142759046375202,11.029026349350021,0.7122631034077236,0.48,0.0,0.0,0.0,246.89,26,19.428117585889808,0.5384615384615384
ridge,valid,19.589085185044702,27.050500763867838,11.34569132652974,10.808975510421671,0.659321343006177,0.56,0.4,0.6666666666666666,0.5,246.89,26,19.589085185044702,0.5384615384615384
monthly_ar_ridge,valid,19.8128721809751,25.718343521650368,11.41609990866989,11.313483212438772,0.6920499394228825,0.52,0.0,0.0,0.0,246.89,26,19.8128721809751,0.5384615384615384
delta_lightgbm,valid,19.902589115493846,25.199053543240137,11.35186120743481,11.21099845411872,0.7043602906359734,0.48,0.0,0.0,0.0,246.89,26,19.902589115493846,0.5
persistence_monthly,valid,20.225769230769234,25.82758610180506,11.62485241585205,11.321743540532339,0.689428253672923,0.48,0.0,0.0,0.0,246.89,26,20.225769230769234,0.0
naive_lag_1m,valid,30.710384615384616,40.982210446447645,18.115052100292377,17.47821005638815,0.21803904875740066,0.48,0.6666666666666666,0.6666666666666666,0.6666666666666666,246.89,26,30.710384615384616,0.5
lightgbm,valid,36.8411656997437,49.0145256236892,18.37400520337238,20.23501358135692,-0.11852041601533791,0.48,0.0,0.0,0.0,246.89,26,36.8411656997437,0.5769230769230769
seasonal_naive_lag_12m,valid,88.07192307692307,98.68376612267008,50.84938548700478,55.26112546956535,-3.5340440872064907,0.48,0.0,0.0,0.0,246.89,26,88.07192307692307,0.38461538461538464
