model,split,mae,rmse,mape,smape,r2,directional_accuracy,peak_precision,peak_recall,peak_f1,peak_threshold,n_observations,delta_mae,delta_direction_accuracy
persistence_monthly,test,6.42653846153846,8.273699061112032,5.46381495139709,5.453276584254618,0.5557323681644328,0.52,0.3333333333333333,0.3333333333333333,0.3333333333333333,133.43,26,6.42653846153846,0.0
delta_ar_ridge,test,6.5936011543921,9.090499295922747,5.466190697842446,5.615848899284134,0.4636840570590688,0.56,0.5,0.3333333333333333,0.4,133.43,26,6.5936011543921,0.5
monthly_ar_ridge,test,7.445230827457125,9.417918088381471,6.224115126766094,6.362603879812477,0.424354584744303,0.52,0.5,0.3333333333333333,0.4,133.43,26,7.445230827457125,0.5
delta_ridge,test,7.723927392904615,9.862573852316864,6.57582420091363,6.557262584578501,0.368714565782877,0.6,0.5,0.3333333333333333,0.4,133.43,26,7.723927392904615,0.3076923076923077
ridge,test,8.852903105569238,10.680985254171807,7.53487613280275,7.585244715009836,0.2595975225196211,0.48,0.5,0.3333333333333333,0.4,133.43,26,8.852903105569238,0.38461538461538464
lightgbm,test,9.16291160776839,11.038413789721513,7.860863373015217,7.944468900612326,0.2092147272695427,0.36,0.0,0.0,0.0,133.43,26,9.16291160776839,0.6153846153846154
naive_lag_1m,test,9.396538461538462,12.01321371849156,8.212533456195906,8.029072945358589,0.06337954315357108,0.48,0.25,0.3333333333333333,0.28571428571428575,133.43,26,9.396538461538462,0.5
delta_lightgbm,test,9.973432419108198,12.106947720661866,8.673581402202926,8.45643145900381,0.0487064186332985,0.52,0.6666666666666666,0.6666666666666666,0.6666666666666666,133.43,26,9.973432419108198,0.38461538461538464
seasonal_naive_lag_12m,test,22.201153846153847,34.23665203123244,18.687737578747143,15.791999001184307,-6.607252121577616,0.6,0.23076923076923078,1.0,0.375,133.43,26,22.201153846153847,0.5
lightgbm,train,2.2420426396864634,3.6575440431954096,2.206890419987253,2.1734852533061764,0.9871171336149779,0.8429752066115702,0.8333333333333334,0.7692307692307693,0.8,150.173,122,2.2420426396864634,0.860655737704918
delta_lightgbm,train,2.3696279277154306,3.831584249871092,2.200954853651162,2.176905203165705,0.985861929847079,0.8181818181818182,0.9230769230769231,0.9230769230769231,0.9230769230769231,150.173,122,2.3696279277154306,0.8934426229508197
ridge,train,5.739407234485764,8.353127132145259,5.668909710698954,5.564634900245068,0.9328058358279367,0.6033057851239669,0.6923076923076923,0.6923076923076923,0.6923076923076923,150.173,122,5.739407234485764,0.6475409836065574
monthly_ar_ridge,train,6.269725758240442,8.930265001519718,6.1986949188899105,6.080901324612117,0.9231998502802017,0.5454545454545454,0.9,0.6923076923076923,0.7826086956521738,150.173,122,6.269725758240442,0.6147540983606558
delta_ridge,train,6.332376653007399,8.869307646437523,6.109122572123142,6.051714349065028,0.9242447366495634,0.5950413223140496,0.75,0.6923076923076923,0.7199999999999999,150.173,122,6.332376653007399,0.6147540983606558
delta_ar_ridge,train,6.524838209523308,9.223528579353497,6.333335867856481,6.25201976225528,0.9180729024862271,0.5619834710743802,0.9,0.6923076923076923,0.7826086956521738,150.173,122,6.524838209523308,0.6147540983606558
persistence_monthly,train,7.300901639344262,10.099405070937854,7.185058851229844,7.076176755550216,0.9017743398341566,0.5206611570247934,0.8333333333333334,0.7692307692307693,0.8,150.173,122,7.300901639344262,0.0
naive_lag_1m,train,10.084836065573771,13.85625978559516,10.39716404335283,10.096616187478517,0.8151048974361473,0.5537190082644629,0.5833333333333334,0.5384615384615384,0.5599999999999999,150.173,122,10.084836065573771,0.4918032786885246
seasonal_naive_lag_12m,train,21.526475409836067,29.971982066863603,22.837282680084485,20.898406012875405,0.1349040044989086,0.48760330578512395,0.23076923076923078,0.23076923076923078,0.23076923076923078,150.173,122,21.526475409836067,0.45081967213114754
delta_ridge,valid,15.563341419730618,20.792777900875894,9.060633706857049,8.746318309326394,0.798711326750261,0.52,0.3333333333333333,0.3333333333333333,0.3333333333333333,246.89,26,15.563341419730618,0.6153846153846154
ridge,valid,15.849335432280666,21.319816616130993,9.375337891351823,8.98174316188374,0.7883777938733396,0.52,0.0,0.0,0.0,246.89,26,15.849335432280666,0.7692307692307693
monthly_ar_ridge,valid,16.16800504759067,21.261162823836127,9.733530967104343,9.416711299671752,0.7895405966273951,0.56,0.3333333333333333,0.3333333333333333,0.3333333333333333,246.89,26,16.16800504759067,0.6923076923076923
delta_ar_ridge,valid,16.58359311176358,21.632085591436027,9.711944233958153,9.450560518894418,0.7821331805932388,0.48,0.3333333333333333,0.3333333333333333,0.3333333333333333,246.89,26,16.58359311176358,0.6538461538461539
delta_lightgbm,valid,19.43691181068879,24.223512546775016,11.073000490522098,10.941216984623084,0.7268076430005168,0.48,0.0,0.0,0.0,246.89,26,19.43691181068879,0.5
persistence_monthly,valid,20.225769230769234,25.82758610180506,11.62485241585205,11.321743540532339,0.689428253672923,0.48,0.0,0.0,0.0,246.89,26,20.225769230769234,0.0
naive_lag_1m,valid,30.710384615384616,40.982210446447645,18.115052100292377,17.47821005638815,0.21803904875740066,0.48,0.6666666666666666,0.6666666666666666,0.6666666666666666,246.89,26,30.710384615384616,0.5
lightgbm,valid,37.63967879498342,49.545196530318776,18.576532875337932,20.966828599050334,-0.14287154253654255,0.52,0.0,0.0,0.0,246.89,26,37.63967879498342,0.6153846153846154
seasonal_naive_lag_12m,valid,88.07192307692307,98.68376612267008,50.84938548700478,55.26112546956535,-3.5340440872064907,0.48,0.0,0.0,0.0,246.89,26,88.07192307692307,0.38461538461538464
