model,split,mae,rmse,mape,smape,r2,directional_accuracy,peak_precision,peak_recall,peak_f1,peak_threshold,n_observations,delta_mae,delta_direction_accuracy
persistence_monthly,test,6.42653846153846,8.273699061112032,5.46381495139709,5.453276584254618,0.5557323681644328,0.52,0.3333333333333333,0.3333333333333333,0.3333333333333333,133.43,26,6.42653846153846,0.0
delta_ar_ridge,test,6.730578088913616,9.218570425957026,5.585955674977481,5.740914245179424,0.4484658758075011,0.6,0.5,0.3333333333333333,0.4,133.43,26,6.730578088913616,0.46153846153846156
monthly_ar_ridge,test,7.722445717484651,9.70797114988224,6.445003973941955,6.604358444075381,0.38835111784943877,0.52,0.5,0.3333333333333333,0.4,133.43,26,7.722445717484651,0.4230769230769231
delta_ridge,test,7.783273160621642,9.898192949532495,6.661670394695926,6.60369773998462,0.36414650437753115,0.6,0.5,0.3333333333333333,0.4,133.43,26,7.783273160621642,0.34615384615384615
ridge,test,9.102907212992168,10.909231722683531,7.788509310652793,7.810379457539616,0.22761547192655884,0.48,0.5,0.3333333333333333,0.4,133.43,26,9.102907212992168,0.4230769230769231
naive_lag_1m,test,9.396538461538462,12.01321371849156,8.212533456195906,8.029072945358589,0.06337954315357108,0.48,0.25,0.3333333333333333,0.28571428571428575,133.43,26,9.396538461538462,0.5
lightgbm,test,9.407170074538142,11.939410371712496,8.496735381333465,8.000705838824834,0.07485247430485176,0.48,0.6666666666666666,0.6666666666666666,0.6666666666666666,133.43,26,9.407170074538142,0.5769230769230769
delta_lightgbm,test,10.241799468239684,12.385003619122338,8.883076298904856,8.707406542569474,0.004508610474825647,0.48,0.6666666666666666,0.6666666666666666,0.6666666666666666,133.43,26,10.241799468239684,0.3076923076923077
seasonal_naive_lag_12m,test,22.201153846153847,34.23665203123244,18.687737578747143,15.791999001184307,-6.607252121577616,0.6,0.23076923076923078,1.0,0.375,133.43,26,22.201153846153847,0.5
lightgbm,train,2.068877234337936,3.4268318786306344,2.040826016271086,2.0104884533792386,0.988691136288368,0.8760330578512396,0.8461538461538461,0.8461538461538461,0.8461538461538461,150.173,122,2.068877234337936,0.8852459016393442
delta_lightgbm,train,2.3227128987719756,3.8802388954180316,2.1778488708714154,2.151769064420329,0.9855005909222804,0.8264462809917356,0.8571428571428571,0.9230769230769231,0.888888888888889,150.173,122,2.3227128987719756,0.9098360655737705
